zipcode,county,hhs-income1,hhs-income2,hhs-income3,hhs-income4,hhs-income5,hhs-income6,hhs-income7,hhs-income8
93210,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93234,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93242,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93602,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93605,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93606,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93607,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93608,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93609,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93611,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93612,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93613,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93616,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93619,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93621,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93622,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93624,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93625,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93626,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93627,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93628,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93630,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93631,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93634,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93640,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93641,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93646,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93648,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93649,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93650,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93651,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93652,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93654,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93656,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93657,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93660,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93662,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93667,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
93668,Fresno,"$54,400 ","$62,200 ","$69,950 ","$77,700 ","$83,950 ","$90,150 ","$96,350 ","$102,600 "
