zipcode,county,hhs-income1,hhs-income2,hhs-income3,hhs-income4,hhs-income5,hhs-income6,hhs-income7,hhs-income8
93210,Fresno,"$52,600 ","$60,100 ","$67,600 ","$75,100 ","$81,150 ","$87,150 ","$93,150 ","$99,150 "
93234,Fresno,"$52,600 ","$60,100 ","$67,600 ","$75,100 ","$81,150 ","$87,150 ","$93,150 ","$99,150 "
93242,Fresno,"$52,600 ","$60,100 ","$67,600 ","$75,100 ","$81,150 ","$87,150 ","$93,150 ","$99,150 "
93602,Fresno,"$52,600 ","$60,100 ","$67,600 ","$75,100 ","$81,150 ","$87,150 ","$93,150 ","$99,150 "
93605,Fresno,"$52,600 ","$60,100 ","$67,600 ","$75,100 ","$81,150 ","$87,150 ","$93,150 ","$99,150 "
93606,Fresno,"$52,600 ","$60,100 ","$67,600 ","$75,100 ","$81,150 ","$87,150 ","$93,150 ","$99,150 "
93607,Fresno,"$52,600 ","$60,100 ","$67,600 ","$75,100 ","$81,150 ","$87,150 ","$93,150 ","$99,150 "
93608,Fresno,"$52,600 ","$60,100 ","$67,600 ","$75,100 ","$81,150 ","$87,150 ","$93,150 ","$99,150 "
93609,Fresno,"$52,600 ","$60,100 ","$67,600 ","$75,100 ","$81,150 ","$87,150 ","$93,150 ","$99,150 "
93611,Fresno,"$52,600 ","$60,100 ","$67,600 ","$75,100 ","$81,150 ","$87,150 ","$93,150 ","$99,150 "
93612,Fresno,"$52,600 ","$60,100 ","$67,600 ","$75,100 ","$81,150 ","$87,150 ","$93,150 ","$99,150 "
93613,Fresno,"$52,600 ","$60,100 ","$67,600 ","$75,100 ","$81,150 ","$87,150 ","$93,150 ","$99,150 "
93616,Fresno,"$52,600 ","$60,100 ","$67,600 ","$75,100 ","$81,150 ","$87,150 ","$93,150 ","$99,150 "
93619,Fresno,"$52,600 ","$60,100 ","$67,600 ","$75,100 ","$81,150 ","$87,150 ","$93,150 ","$99,150 "
93621,Fresno,"$52,600 ","$60,100 ","$67,600 ","$75,100 ","$81,150 ","$87,150 ","$93,150 ","$99,150 "
93622,Fresno,"$52,600 ","$60,100 ","$67,600 ","$75,100 ","$81,150 ","$87,150 ","$93,150 ","$99,150 "
93624,Fresno,"$52,600 ","$60,100 ","$67,600 ","$75,100 ","$81,150 ","$87,150 ","$93,150 ","$99,150 "
93625,Fresno,"$52,600 ","$60,100 ","$67,600 ","$75,100 ","$81,150 ","$87,150 ","$93,150 ","$99,150 "
93626,Fresno,"$52,600 ","$60,100 ","$67,600 ","$75,100 ","$81,150 ","$87,150 ","$93,150 ","$99,150 "
93627,Fresno,"$52,600 ","$60,100 ","$67,600 ","$75,100 ","$81,150 ","$87,150 ","$93,150 ","$99,150 "
93628,Fresno,"$52,600 ","$60,100 ","$67,600 ","$75,100 ","$81,150 ","$87,150 ","$93,150 ","$99,150 "
93630,Fresno,"$52,600 ","$60,100 ","$67,600 ","$75,100 ","$81,150 ","$87,150 ","$93,150 ","$99,150 "
93631,Fresno,"$52,600 ","$60,100 ","$67,600 ","$75,100 ","$81,150 ","$87,150 ","$93,150 ","$99,150 "
93634,Fresno,"$52,600 ","$60,100 ","$67,600 ","$75,100 ","$81,150 ","$87,150 ","$93,150 ","$99,150 "
93640,Fresno,"$52,600 ","$60,100 ","$67,600 ","$75,100 ","$81,150 ","$87,150 ","$93,150 ","$99,150 "
93641,Fresno,"$52,600 ","$60,100 ","$67,600 ","$75,100 ","$81,150 ","$87,150 ","$93,150 ","$99,150 "
93646,Fresno,"$52,600 ","$60,100 ","$67,600 ","$75,100 ","$81,150 ","$87,150 ","$93,150 ","$99,150 "
93648,Fresno,"$52,600 ","$60,100 ","$67,600 ","$75,100 ","$81,150 ","$87,150 ","$93,150 ","$99,150 "
93649,Fresno,"$52,600 ","$60,100 ","$67,600 ","$75,100 ","$81,150 ","$87,150 ","$93,150 ","$99,150 "
93650,Fresno,"$52,600 ","$60,100 ","$67,600 ","$75,100 ","$81,150 ","$87,150 ","$93,150 ","$99,150 "
93651,Fresno,"$52,600 ","$60,100 ","$67,600 ","$75,100 ","$81,150 ","$87,150 ","$93,150 ","$99,150 "
93652,Fresno,"$52,600 ","$60,100 ","$67,600 ","$75,100 ","$81,150 ","$87,150 ","$93,150 ","$99,150 "
93654,Fresno,"$52,600 ","$60,100 ","$67,600 ","$75,100 ","$81,150 ","$87,150 ","$93,150 ","$99,150 "
93656,Fresno,"$52,600 ","$60,100 ","$67,600 ","$75,100 ","$81,150 ","$87,150 ","$93,150 ","$99,150 "
93657,Fresno,"$52,600 ","$60,100 ","$67,600 ","$75,100 ","$81,150 ","$87,150 ","$93,150 ","$99,150 "
93660,Fresno,"$52,600 ","$60,100 ","$67,600 ","$75,100 ","$81,150 ","$87,150 ","$93,150 ","$99,150 "
93662,Fresno,"$52,600 ","$60,100 ","$67,600 ","$75,100 ","$81,150 ","$87,150 ","$93,150 ","$99,150 "
93667,Fresno,"$52,600 ","$60,100 ","$67,600 ","$75,100 ","$81,150 ","$87,150 ","$93,150 ","$99,150 "
93668,Fresno,"$52,600 ","$60,100 ","$67,600 ","$75,100 ","$81,150 ","$87,150 ","$93,150 ","$99,150 "
93701,Fresno,"$52,600 ","$60,100 ","$67,600 ","$75,100 ","$81,150 ","$87,150 ","$93,150 ","$99,150 "
93702,Fresno,"$52,600 ","$60,100 ","$67,600 ","$75,100 ","$81,150 ","$87,150 ","$93,150 ","$99,150 "
93703,Fresno,"$52,600 ","$60,100 ","$67,600 ","$75,100 ","$81,150 ","$87,150 ","$93,150 ","$99,150 "
93704,Fresno,"$52,600 ","$60,100 ","$67,600 ","$75,100 ","$81,150 ","$87,150 ","$93,150 ","$99,150 "
93705,Fresno,"$52,600 ","$60,100 ","$67,600 ","$75,100 ","$81,150 ","$87,150 ","$93,150 ","$99,150 "
93706,Fresno,"$52,600 ","$60,100 ","$67,600 ","$75,100 ","$81,150 ","$87,150 ","$93,150 ","$99,150 "
